"Año","Mes","Region","Sub_Total"
2011,5,"North America",20565.6206
2011,5,"North America",1294.2529
2011,5,"North America",32726.4786
2011,5,"North America",28832.5289
2011,5,"North America",419.4589
2011,5,"North America",24432.6088
2011,5,"North America",14352.7713
2011,5,"North America",5056.4896
2011,5,"North America",6107.082
2011,5,"North America",35944.1562
2011,5,"North America",714.7043
2011,5,"North America",6122.082
2011,5,"North America",8128.7876
2011,5,"North America",6124.182
2011,5,"North America",3746.2015
2011,5,"North America",2624.382
2011,5,"North America",5716.3102
2011,5,"North America",14203.458
2011,5,"North America",7793.1108
2011,5,"North America",9799.9243
2011,5,"North America",1316.0575
2011,5,"North America",11397.4992
2011,5,"North America",13787.5434
2011,5,"North America",3875.7229
2011,5,"North America",42813.4333
2011,5,"North America",5596.4705
2011,5,"North America",2736.5678
2011,5,"North America",3463.2998
2011,5,"North America",1258.3767
2011,5,"North America",12718.0844
2011,5,"North America",33997.3702
2011,5,"North America",1297.5901
2011,5,"North America",874.794
2011,5,"North America",38510.8973
2011,5,"North America",20541.4072
2011,5,"North America",20645.634
2011,5,"North America",39373.781
2011,5,"North America",419.4589
2011,5,"North America",3578.27
2011,5,"Europe",3399.99
2011,5,"North America",3399.99
2011,5,"North America",699.0982
2011,5,"Pacific",3399.99
2011,6,"North America",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3374.99
2011,6,"Pacific",3399.99
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",699.0982
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",699.0982
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"North America",699.0982
2011,6,"Pacific",3578.27
2011,6,"Europe",3578.27
2011,6,"North America",699.0982
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3399.99
2011,6,"North America",3399.99
2011,6,"Pacific",3578.27
2011,6,"Pacific",3374.99
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3399.99
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Pacific",3399.99
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"North America",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Europe",3578.27
2011,6,"Pacific",3578.27
2011,6,"North America",3578.27
